workclass,race,sex,hours-per-week,native-country,income,age-range,education-degree
Private,White,Female,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Female,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Male,21-40,NC-White,>50K,45-60,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Female,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Female,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Female,41-60,NC-White,<=50K,15-30,Bach
Private,White,Female,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Male,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,MiddleSchool
State-gov,White,Male,41-60,NC-White,>50K,45-60,Mast
Federal-gov,White,Male,21-40,NC-White,<=50K,15-30,Mast
Private,White,Female,41-60,NC-White,<=50K,60-75,Mast
Private,Black,Female,21-40,NC-White,<=50K,45-60,Assoc
Private,White,Female,41-60,NC-White,<=50K,45-60,HS-College
Private,Black,Female,0-20,NC-White,<=50K,30-45,HS-College
Private,White,Female,41-60,NC-White,<=50K,30-45,HS-College
Private,White,Female,0-20,NC-Non-Hisp-White,<=50K,15-30,Bach
Private,White,Male,21-40,NC-White,<=50K,15-30,Assoc
State-gov,Asian-Pac-Islander,Male,41-60,NC-Asian-Pacific,<=50K,30-45,PostMaster
State-gov,White,Male,21-40,NC-White,<=50K,15-30,Assoc
Self-emp-not-inc,White,Female,0-20,NC-Non-Hisp-White,<=50K,75-100,Bach
Private,Black,Male,0-20,NC-White,<=50K,15-30,Bach
Local-gov,White,Male,21-40,NC-White,>50K,30-45,Mast
Private,White,Female,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Female,21-40,NC-White,<=50K,60-75,HS-College
Self-emp-not-inc,White,Female,61-80,NC-White,<=50K,45-60,Assoc
Private,White,Female,41-60,NC-White,<=50K,45-60,Bach
Private,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Self-emp-not-inc,Black,Female,0-20,NC-White,<=50K,30-45,Assoc
Private,Amer-Indian-Eskimo,Male,41-60,NC-White,<=50K,15-30,MiddleSchool
Never-worked,White,Male,21-40,NC-White,<=50K,15-30,MiddleSchool
Private,White,Male,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Male,41-60,NC-White,>50K,30-45,PostMaster
Private,White,Female,0-20,NC-White,<=50K,15-30,MiddleSchool
Self-emp-not-inc,White,Female,21-40,NC-White,<=50K,30-45,Bach
Private,White,Male,41-60,NC-White,>50K,30-45,PostMaster
Self-emp-not-inc,White,Male,61-80,NC-White,<=50K,45-60,Bach
Self-emp-inc,White,Female,0-20,NC-Hispanic,<=50K,15-30,HS-College
Private,White,Male,0-20,NC-White,<=50K,15-30,Assoc
Private,White,Female,41-60,NC-White,>50K,30-45,Assoc
Private,White,Male,41-60,NC-White,<=50K,30-45,HS-College
State-gov,White,Male,41-60,NC-White,>50K,45-60,PostMaster
Private,White,Male,21-40,NC-White,>50K,30-45,Bach
Private,White,Female,21-40,NC-White,>50K,30-45,Assoc
Private,White,Female,0-20,NC-White,<=50K,15-30,MiddleSchool
Private,White,Male,41-60,NC-White,>50K,30-45,HS-College
Private,White,Female,41-60,NC-White,<=50K,30-45,Bach
Private,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Female,21-40,NC-White,<=50K,30-45,Assoc
Private,Black,Female,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Female,21-40,NC-White,<=50K,30-45,HS-College
Local-gov,White,Male,41-60,NC-White,>50K,45-60,PostMaster
Private,White,Female,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Male,41-60,NC-White,<=50K,30-45,Assoc
Private,White,Male,0-20,NC-White,<=50K,30-45,Bach
State-gov,White,Male,0-20,NC-White,<=50K,60-75,Assoc
Private,White,Female,41-60,NC-White,<=50K,30-45,Bach
Private,White,Male,21-40,NC-White,<=50K,15-30,Assoc
Self-emp-not-inc,White,Male,41-60,NC-Hispanic,<=50K,15-30,Assoc
Private,White,Male,21-40,NC-White,<=50K,30-45,Bach
Private,White,Female,0-20,NC-White,<=50K,30-45,Assoc
Private,White,Male,41-60,NC-White,>50K,45-60,Bach
State-gov,White,Female,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,>50K,15-30,Bach
Private,White,Male,41-60,NC-Non-Hisp-White,>50K,30-45,Bach
Self-emp-not-inc,White,Female,0-20,NC-White,<=50K,45-60,MiddleSchool
Private,Black,Male,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Female,41-60,NC-White,>50K,30-45,Mast
Self-emp-not-inc,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,HS-College
Private,Black,Male,21-40,NC-White,<=50K,30-45,MiddleSchool
Private,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Male,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Female,21-40,NC-Hispanic,<=50K,45-60,Elementary
Private,White,Female,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Male,21-40,NC-White,>50K,30-45,Assoc
Private,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Private,Asian-Pac-Islander,Female,0-20,NC-White,<=50K,15-30,Assoc
Self-emp-inc,White,Male,61-80,NC-White,>50K,45-60,Bach
State-gov,White,Female,21-40,NC-White,<=50K,45-60,Bach
Local-gov,White,Male,41-60,NC-White,>50K,30-45,Bach
Private,White,Male,41-60,NC-White,>50K,30-45,Bach
Self-emp-not-inc,White,Female,0-20,NC-White,<=50K,45-60,Assoc
Private,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Male,41-60,NC-White,>50K,30-45,Bach
Private,White,Male,21-40,NC-White,<=50K,15-30,MiddleSchool
Private,White,Male,21-40,NC-White,<=50K,45-60,HS-College
State-gov,Black,Male,21-40,NC-White,>50K,45-60,HS-College
Private,Black,Female,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Private,White,Female,0-20,NC-White,<=50K,45-60,MiddleSchool
Federal-gov,White,Male,21-40,NC-White,<=50K,45-60,MiddleSchool
Private,White,Male,21-40,NC-White,<=50K,30-45,HS-College
Private,Black,Female,21-40,NC-Hispanic,<=50K,15-30,Assoc
Private,White,Female,41-60,NC-White,>50K,45-60,Bach
Private,White,Male,21-40,NC-White,>50K,15-30,Bach
Private,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Private,White,Male,41-60,NC-White,<=50K,15-30,Assoc
Private,Black,Male,41-60,NC-Non-Hisp-White,<=50K,45-60,HS-College
Self-emp-not-inc,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,Bach
Self-emp-not-inc,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Self-emp-not-inc,White,Female,0-20,NC-White,<=50K,30-45,Assoc
Private,Black,Male,21-40,NC-White,<=50K,30-45,Assoc
Local-gov,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Male,21-40,NC-White,<=50K,45-60,Assoc
Private,White,Female,21-40,NC-White,<=50K,30-45,Mast
Private,White,Male,21-40,NC-White,<=50K,45-60,Bach
Private,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Local-gov,White,Male,41-60,NC-White,>50K,30-45,PostMaster
Local-gov,White,Female,41-60,NC-White,>50K,45-60,Mast
Private,White,Male,0-20,NC-White,<=50K,15-30,MiddleSchool
Private,Asian-Pac-Islander,Male,21-40,NC-Asian-Pacific,>50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Male,21-40,NC-White,<=50K,30-45,MiddleSchool
Private,White,Male,81-100,NC-White,<=50K,45-60,HS-College
Self-emp-inc,White,Female,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,HS-College
State-gov,White,Male,21-40,NC-White,>50K,30-45,Bach
Private,White,Male,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Female,21-40,NC-White,<=50K,45-60,HS-College
Private,Other,Male,21-40,NC-White,<=50K,60-75,MiddleSchool
Self-emp-not-inc,White,Male,41-60,NC-White,<=50K,45-60,HS-College
Self-emp-not-inc,White,Female,21-40,NC-White,<=50K,15-30,MiddleSchool
Private,White,Male,21-40,NC-White,>50K,30-45,Bach
Federal-gov,Black,Male,41-60,NC-White,<=50K,30-45,Assoc
Private,White,Male,21-40,NC-White,>50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Male,41-60,NC-White,>50K,30-45,Bach
Private,White,Male,21-40,NC-White,>50K,45-60,HS-College
Private,White,Male,41-60,NC-White,<=50K,15-30,HS-College
Private,White,Female,21-40,NC-White,<=50K,15-30,Assoc
State-gov,Black,Female,21-40,NC-White,<=50K,60-75,Elementary
Local-gov,White,Male,21-40,NC-White,<=50K,45-60,Assoc
Private,White,Female,0-20,NC-White,<=50K,15-30,Assoc
Private,White,Male,41-60,NC-White,>50K,45-60,Assoc
Private,Black,Female,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Female,0-20,NC-White,<=50K,45-60,HS-College
Private,White,Male,41-60,NC-White,>50K,30-45,Bach
Self-emp-inc,White,Male,41-60,NC-White,>50K,30-45,Bach
Private,White,Female,21-40,NC-White,>50K,45-60,Assoc
State-gov,White,Female,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,MiddleSchool
Private,White,Male,21-40,NC-White,>50K,45-60,HS-College
Local-gov,White,Male,21-40,NC-White,>50K,45-60,HS-College
Self-emp-not-inc,White,Male,21-40,NC-White,<=50K,30-45,HS-College
Private,Black,Female,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,45-60,HS-College
Federal-gov,White,Female,21-40,NC-White,<=50K,45-60,MiddleSchool
Self-emp-not-inc,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Private,Black,Female,21-40,NC-White,<=50K,30-45,MiddleSchool
Private,White,Male,41-60,NC-White,>50K,30-45,Bach
Private,White,Female,21-40,NC-Hispanic,<=50K,15-30,Assoc
Self-emp-not-inc,White,Male,41-60,NC-White,<=50K,60-75,HS-College
Self-emp-not-inc,Asian-Pac-Islander,Male,41-60,NC-Asian-Pacific,<=50K,30-45,HS-College
Self-emp-not-inc,White,Male,21-40,NC-White,<=50K,45-60,PostMaster
Self-emp-not-inc,White,Male,41-60,NC-White,>50K,30-45,Bach
Private,White,Male,41-60,NC-White,<=50K,30-45,Assoc
Private,White,Male,21-40,NC-White,>50K,45-60,Bach
Private,White,Male,41-60,NC-White,>50K,45-60,HS-College
Self-emp-not-inc,White,Male,41-60,NC-White,<=50K,45-60,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Female,21-40,NC-White,<=50K,45-60,Bach
Private,White,Male,21-40,NC-White,<=50K,15-30,Assoc
State-gov,White,Male,21-40,NC-White,<=50K,45-60,Assoc
Private,White,Male,0-20,NC-White,<=50K,15-30,MiddleSchool
Private,White,Female,21-40,NC-White,<=50K,45-60,HS-College
Self-emp-inc,White,Male,41-60,NC-White,>50K,45-60,Assoc
Local-gov,White,Male,41-60,NC-White,<=50K,30-45,Mast
Self-emp-inc,Asian-Pac-Islander,Female,21-40,NC-Asian-Pacific,<=50K,15-30,HS-College
Private,White,Male,21-40,NC-White,>50K,45-60,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Male,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Female,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Male,41-60,NC-White,<=50K,15-30,HS-College
Local-gov,Black,Female,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Female,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Male,41-60,NC-White,>50K,30-45,Bach
Private,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Self-emp-not-inc,White,Male,21-40,NC-White,<=50K,30-45,Elementary
Private,Black,Female,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Private,Black,Female,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,Bach
Private,White,Male,21-40,NC-White,>50K,30-45,Bach
Private,White,Female,41-60,NC-White,<=50K,30-45,Mast
Private,Black,Male,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Male,21-40,NC-White,>50K,45-60,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,MiddleSchool
Private,White,Female,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Male,21-40,NC-White,<=50K,15-30,Bach
Private,White,Female,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Female,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Male,41-60,NC-White,>50K,30-45,Assoc
Private,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Private,White,Male,41-60,NC-White,<=50K,45-60,Assoc
Self-emp-not-inc,White,Male,41-60,NC-White,<=50K,30-45,Bach
Self-emp-not-inc,White,Male,21-40,NC-White,<=50K,30-45,Bach
Private,White,Female,21-40,NC-White,<=50K,45-60,Bach
Private,White,Female,41-60,NC-White,>50K,30-45,PostMaster
Private,Asian-Pac-Islander,Female,21-40,NC-White,<=50K,30-45,HS-College
State-gov,White,Male,21-40,NC-White,<=50K,15-30,Assoc
Private,Black,Male,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Female,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Female,41-60,NC-White,<=50K,30-45,Bach
Private,White,Female,21-40,NC-White,<=50K,30-45,HS-College
Self-emp-not-inc,White,Male,41-60,NC-White,<=50K,15-30,Assoc
State-gov,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Private,Black,Female,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Female,21-40,NC-White,<=50K,15-30,Assoc
State-gov,White,Male,41-60,NC-White,>50K,45-60,Mast
Private,Amer-Indian-Eskimo,Male,61-80,NC-White,<=50K,15-30,MiddleSchool
Private,White,Male,21-40,NC-White,<=50K,15-30,Assoc
State-gov,Asian-Pac-Islander,Female,21-40,NC-White,>50K,45-60,Assoc
Private,White,Male,41-60,NC-White,>50K,30-45,Bach
Private,Black,Male,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Private,White,Female,0-20,NC-White,<=50K,30-45,HS-College
Private,White,Female,0-20,NC-White,>50K,15-30,Assoc
Local-gov,White,Female,41-60,NC-White,<=50K,15-30,Mast
Private,White,Male,21-40,NC-White,<=50K,30-45,Bach
Federal-gov,White,Male,41-60,NC-White,<=50K,30-45,Bach
Self-emp-not-inc,White,Male,41-60,NC-White,<=50K,45-60,Assoc
Private,White,Male,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Female,21-40,NC-White,<=50K,30-45,MiddleSchool
Local-gov,White,Male,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,HS-College
Self-emp-not-inc,White,Male,41-60,NC-White,<=50K,30-45,Assoc
Self-emp-not-inc,White,Male,41-60,NC-White,<=50K,45-60,HS-College
Private,White,Male,21-40,NC-Hispanic,<=50K,15-30,MiddleSchool
Private,White,Female,21-40,NC-White,<=50K,30-45,Bach
Self-emp-inc,White,Male,41-60,NC-White,<=50K,30-45,Bach
Private,White,Male,41-60,NC-White,>50K,30-45,MiddleSchool
Private,White,Female,41-60,NC-White,<=50K,45-60,HS-College
Self-emp-inc,White,Male,21-40,NC-White,<=50K,45-60,HS-College
Self-emp-inc,White,Male,41-60,NC-White,<=50K,30-45,Bach
Private,White,Female,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Female,21-40,NC-White,<=50K,45-60,Elementary
Private,White,Male,21-40,NC-White,<=50K,15-30,Bach
Private,White,Female,21-40,NC-White,<=50K,60-75,HS-College
Private,White,Male,41-60,NC-White,<=50K,15-30,Assoc
Private,White,Male,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Male,0-20,NC-White,<=50K,15-30,HS-College
Private,White,Male,41-60,NC-White,>50K,60-75,Assoc
Private,White,Male,21-40,NC-White,<=50K,15-30,Bach
Private,White,Male,21-40,NC-White,>50K,15-30,Mast
Private,White,Male,21-40,NC-White,<=50K,45-60,HS-College
Private,Black,Male,21-40,NC-White,>50K,30-45,HS-College
Self-emp-inc,White,Female,21-40,NC-White,<=50K,60-75,Bach
Self-emp-inc,White,Male,21-40,NC-White,>50K,60-75,Bach
Private,White,Female,0-20,NC-White,<=50K,15-30,Assoc
Private,White,Male,21-40,NC-White,<=50K,45-60,Assoc
Private,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,HS-College
Self-emp-not-inc,White,Male,21-40,NC-White,>50K,45-60,Bach
Private,Asian-Pac-Islander,Male,41-60,NC-White,>50K,30-45,Assoc
Private,White,Male,81-100,NC-White,>50K,15-30,Mast
Private,White,Male,41-60,NC-White,<=50K,30-45,HS-College
State-gov,White,Female,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Female,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Male,21-40,NC-White,<=50K,60-75,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Male,41-60,NC-White,<=50K,45-60,Assoc
Private,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,>50K,45-60,Assoc
Private,White,Male,61-80,NC-White,<=50K,30-45,Assoc
Private,Black,Female,21-40,NC-White,<=50K,45-60,Assoc
Private,White,Male,0-20,NC-White,<=50K,45-60,HS-College
State-gov,White,Female,21-40,NC-White,<=50K,30-45,PostMaster
Self-emp-not-inc,White,Male,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Male,21-40,NC-White,>50K,60-75,Assoc
Private,White,Female,41-60,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,>50K,60-75,PostMaster
Local-gov,White,Female,21-40,NC-White,>50K,45-60,Mast
Local-gov,White,Female,0-20,NC-White,<=50K,30-45,Assoc
Private,White,Female,21-40,NC-White,<=50K,15-30,Mast
Private,White,Male,21-40,NC-Hispanic,<=50K,15-30,HS-College
Private,White,Male,21-40,NC-White,>50K,30-45,HS-College
Private,Asian-Pac-Islander,Female,41-60,NC-Hispanic,<=50K,45-60,HS-College
Private,White,Female,21-40,NC-White,<=50K,45-60,Mast
Private,White,Male,41-60,NC-White,>50K,45-60,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Male,61-80,NC-White,<=50K,30-45,Bach
Private,White,Female,21-40,NC-White,>50K,30-45,Mast
Private,White,Female,21-40,NC-Hispanic,<=50K,45-60,HS-College
Private,White,Female,41-60,NC-White,<=50K,15-30,Assoc
Private,White,Male,21-40,NC-White,<=50K,15-30,Bach
Self-emp-not-inc,Black,Male,61-80,NC-White,<=50K,45-60,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Female,21-40,NC-White,<=50K,15-30,HS-College
State-gov,White,Male,0-20,NC-White,<=50K,15-30,Mast
Private,White,Male,21-40,NC-White,>50K,30-45,Mast
Private,White,Male,41-60,NC-Hispanic,<=50K,15-30,Elementary
Private,White,Male,41-60,NC-White,<=50K,45-60,MiddleSchool
Self-emp-inc,White,Male,21-40,NC-White,<=50K,45-60,HS-College
Local-gov,Black,Male,21-40,NC-White,>50K,60-75,MiddleSchool
Private,White,Female,21-40,NC-White,<=50K,30-45,HS-College
State-gov,White,Male,41-60,NC-White,>50K,45-60,PostMaster
Private,White,Male,41-60,NC-White,<=50K,30-45,Bach
Self-emp-not-inc,White,Male,41-60,NC-White,<=50K,30-45,Assoc
Private,White,Female,0-20,NC-White,<=50K,15-30,Assoc
Self-emp-not-inc,Black,Female,21-40,NC-White,>50K,30-45,HS-College
Federal-gov,White,Female,21-40,NC-White,<=50K,30-45,Mast
Private,White,Male,21-40,NC-White,<=50K,45-60,MiddleSchool
Self-emp-not-inc,White,Male,21-40,NC-White,<=50K,45-60,HS-College
State-gov,Black,Male,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Private,Black,Male,21-40,NC-White,<=50K,15-30,MiddleSchool
Private,White,Male,21-40,NC-White,<=50K,15-30,HS-College
Self-emp-not-inc,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,>50K,30-45,HS-College
Private,White,Male,41-60,NC-White,>50K,15-30,Mast
Private,White,Male,21-40,NC-White,>50K,30-45,HS-College
Private,White,Female,21-40,NC-White,<=50K,60-75,Assoc
Private,White,Female,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Male,41-60,NC-White,>50K,45-60,Assoc
Private,White,Male,21-40,NC-White,>50K,30-45,Assoc
Local-gov,White,Female,41-60,NC-White,<=50K,45-60,Mast
Federal-gov,White,Male,21-40,NC-White,>50K,45-60,Assoc
Private,White,Male,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Male,41-60,NC-White,>50K,30-45,Assoc
Private,White,Male,41-60,NC-White,>50K,30-45,Assoc
Private,White,Female,41-60,NC-White,<=50K,45-60,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Male,61-80,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,>50K,45-60,Assoc
Self-emp-not-inc,White,Male,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Female,21-40,NC-Hispanic,<=50K,30-45,Assoc
Self-emp-inc,White,Male,21-40,NC-White,<=50K,30-45,Mast
Private,White,Female,21-40,NC-Non-Hisp-White,<=50K,30-45,Elementary
Local-gov,Black,Male,21-40,NC-White,>50K,15-30,Bach
Private,White,Female,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,Mast
State-gov,White,Male,41-60,NC-White,<=50K,30-45,Bach
Local-gov,Black,Male,21-40,NC-White,>50K,45-60,HS-College
Private,White,Female,41-60,NC-White,<=50K,45-60,Assoc
Private,Asian-Pac-Islander,Female,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Male,0-20,NC-White,<=50K,30-45,HS-College
State-gov,White,Female,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Female,21-40,NC-White,<=50K,15-30,Bach
Self-emp-not-inc,White,Male,21-40,NC-White,<=50K,30-45,PostMaster
Private,White,Male,21-40,NC-White,<=50K,60-75,Elementary
Local-gov,White,Male,41-60,NC-White,>50K,45-60,Mast
Private,White,Female,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Female,41-60,NC-White,>50K,30-45,Bach
Private,White,Male,0-20,NC-White,<=50K,15-30,Assoc
Private,White,Female,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Female,21-40,NC-White,<=50K,45-60,Bach
Private,White,Female,21-40,NC-White,<=50K,15-30,HS-College
Local-gov,Asian-Pac-Islander,Male,21-40,NC-Asian-Pacific,>50K,45-60,Bach
Private,White,Male,21-40,NC-White,<=50K,60-75,Preschool
Private,White,Female,21-40,NC-White,<=50K,15-30,Bach
Federal-gov,White,Female,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Private,White,Female,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Female,21-40,NC-White,<=50K,15-30,Bach
State-gov,White,Male,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Male,41-60,NC-White,>50K,30-45,Mast
Private,White,Male,21-40,NC-White,>50K,60-75,Bach
Federal-gov,White,Male,21-40,NC-White,>50K,60-75,HS-College
Private,White,Male,41-60,NC-White,>50K,30-45,Bach
Self-emp-inc,White,Female,41-60,NC-White,<=50K,15-30,Bach
Private,White,Male,0-20,NC-White,<=50K,15-30,Assoc
Private,White,Female,21-40,NC-White,<=50K,45-60,Assoc
Private,Black,Male,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Male,41-60,NC-Hispanic,<=50K,30-45,Elementary
Private,White,Male,41-60,NC-White,<=50K,45-60,Assoc
Private,White,Male,21-40,NC-White,<=50K,45-60,Assoc
Private,White,Male,21-40,NC-White,>50K,30-45,Assoc
Self-emp-inc,White,Male,41-60,NC-White,<=50K,15-30,Assoc
Private,White,Female,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Male,21-40,NC-White,>50K,30-45,Bach
Private,White,Female,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Female,41-60,NC-White,<=50K,15-30,Assoc
Private,White,Male,21-40,NC-White,<=50K,30-45,Assoc
State-gov,White,Male,21-40,NC-White,<=50K,15-30,Bach
State-gov,White,Female,21-40,NC-White,<=50K,45-60,PostMaster
Private,White,Female,21-40,NC-White,<=50K,15-30,Assoc
Private,White,Male,41-60,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,HS-College
Self-emp-inc,White,Male,41-60,NC-White,>50K,60-75,Bach
Private,White,Female,0-20,NC-White,<=50K,15-30,Assoc
Private,White,Male,21-40,NC-White,<=50K,45-60,Assoc
Private,White,Male,41-60,NC-White,<=50K,15-30,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Private,White,Male,41-60,NC-White,>50K,45-60,Mast
Private,Black,Female,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Female,21-40,NC-White,<=50K,45-60,Bach
Local-gov,White,Male,21-40,NC-White,>50K,45-60,HS-College
Private,White,Male,21-40,NC-White,<=50K,30-45,Assoc
Self-emp-not-inc,White,Male,41-60,NC-White,<=50K,45-60,Assoc
Private,White,Female,21-40,NC-Non-Hisp-White,<=50K,30-45,Bach
Private,White,Female,21-40,NC-White,<=50K,45-60,HS-College
Local-gov,Black,Female,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Male,41-60,NC-White,<=50K,45-60,HS-College
Self-emp-not-inc,White,Male,21-40,NC-Hispanic,<=50K,60-75,Assoc
State-gov,White,Female,0-20,NC-White,<=50K,15-30,MiddleSchool
Self-emp-not-inc,Amer-Indian-Eskimo,Male,21-40,NC-White,<=50K,45-60,Assoc
Self-emp-inc,White,Male,21-40,NC-White,>50K,45-60,HS-College
Private,Black,Female,21-40,NC-White,<=50K,15-30,Bach
Private,White,Female,0-20,NC-White,<=50K,15-30,MiddleSchool
Private,Black,Male,21-40,NC-White,<=50K,45-60,HS-College
Private,White,Male,41-60,NC-White,<=50K,30-45,Bach
Private,White,Female,21-40,NC-White,<=50K,45-60,Assoc
Private,White,Male,41-60,NC-White,>50K,45-60,Assoc
Private,White,Male,21-40,NC-White,>50K,15-30,Assoc
Private,Black,Male,21-40,NC-Hispanic,<=50K,30-45,HS-College
Federal-gov,White,Male,21-40,NC-White,>50K,45-60,HS-College
Local-gov,White,Male,21-40,NC-White,<=50K,15-30,HS-College
Private,Black,Female,21-40,NC-White,<=50K,15-30,HS-College
Private,White,Male,41-60,NC-White,>50K,30-45,HS-College
Private,White,Male,21-40,NC-White,<=50K,45-60,Assoc
Private,White,Female,41-60,NC-Hispanic,<=50K,30-45,HS-College
Private,White,Male,21-40,NC-White,>50K,45-60,Assoc
Private,White,Male,41-60,NC-White,>50K,30-45,Bach
